
EsN0 = 6.0, FER = 0.859, BER = 0.08693560606060606

EsN0 = 4, FER = 1.0, BER = 0.19290340909090908

EsN0 = 5, FER = 1.0, BER = 0.15611931818181818

EsN0 = 7.0, EbN0 = 3.989700031426491, FER = 0.08756567425569177, BER = 0.005308669001751314

EsN0 = 4.0, EbN0 = 2.0657182973302923, FER = 0.02537427048972342, BER = 0.0009645106225923278

EsN0 = 5.080299968573509, EbN0 = 2.07, FER = 0.998, BER = 0.15252083333333333

EsN0 = 4.4, EbN0 = 2.9085237302169173, FER = 0.0004, BER = 1.5909090909090908e-06

EsN0 = 5.2, EbN0 = 3.7171037542994116, FER = 0.0, BER = 0.0

EsN0 = 5.6, EbN0 = 3.9740986519244164, FER = 0.0, BER = 0.0

EsN0 = 4.8, EbN0 = 3.1451629926328435, FER = 0.0, BER = 0.0

EsN0 = 5.918799968573509, EbN0 = 2.9085, FER = 0.897, BER = 0.09430681818181819

EsN0 = 6.155299968573509, EbN0 = 3.145, FER = 0.758, BER = 0.07028219696969697

EsN0 = 6.727299968573509, EbN0 = 3.717, FER = 0.243, BER = 0.016668560606060607
