ebn0:4.60, esn0:7.61
总码率约为:0.500
Suppose Average Power is: 1
Actual Power is: 1.0000000000000002
EsN0 = 7.610299968573509
temp_fer = 0.0, temp_ber = 0.0
temp_fer = 0.0, temp_ber = 0.0
temp_fer = 0.0, temp_ber = 0.0
temp_fer = 0.0, temp_ber = 0.0
temp_fer = 0.0, temp_ber = 0.0
temp_fer = 0.008333333333333333, temp_ber = 0.000946969696969697
temp_fer = 0.007142857142857143, temp_ber = 0.0008116883116883117
temp_fer = 0.00625, temp_ber = 0.0007102272727272727
temp_fer = 0.011111111111111112, temp_ber = 0.0007470538720538721
temp_fer = 0.01, temp_ber = 0.0006723484848484848
temp_fer = 0.00909090909090909, temp_ber = 0.0006112258953168044
temp_fer = 0.008333333333333333, temp_ber = 0.0005602904040404041
temp_fer = 0.007692307692307693, temp_ber = 0.0005171911421911422
temp_fer = 0.007142857142857143, temp_ber = 0.00048024891774891773
temp_fer = 0.006666666666666667, temp_ber = 0.00044823232323232325
temp_fer = 0.009375, temp_ber = 0.0005089962121212121
temp_fer = 0.008823529411764706, temp_ber = 0.00047905525846702316
temp_fer = 0.008333333333333333, temp_ber = 0.00045244107744107746
temp_fer = 0.007894736842105263, temp_ber = 0.00042862838915470495
temp_fer = 0.0075, temp_ber = 0.0004071969696969697
temp_fer = 0.007142857142857143, temp_ber = 0.00038780663780663783
temp_fer = 0.00909090909090909, temp_ber = 0.0003744834710743802
temp_fer = 0.008695652173913044, temp_ber = 0.000358201581027668
temp_fer = 0.008333333333333333, temp_ber = 0.00034327651515151514
temp_fer = 0.008, temp_ber = 0.00032954545454545454
temp_fer = 0.007692307692307693, temp_ber = 0.00031687062937062936
temp_fer = 0.007407407407407408, temp_ber = 0.0003051346801346801
temp_fer = 0.007142857142857143, temp_ber = 0.000294237012987013
temp_fer = 0.006896551724137931, temp_ber = 0.0002840909090909091
temp_fer = 0.006666666666666667, temp_ber = 0.0002746212121212121
temp_fer = 0.0064516129032258064, temp_ber = 0.0002657624633431085
temp_fer = 0.00625, temp_ber = 0.00025745738636363634
temp_fer = 0.006060606060606061, temp_ber = 0.0002496556473829201
temp_fer = 0.007352941176470588, temp_ber = 0.0002534536541889483
temp_fer = 0.007142857142857143, temp_ber = 0.0002462121212121212
temp_fer = 0.006944444444444444, temp_ber = 0.00023937289562289563
temp_fer = 0.006756756756756757, temp_ber = 0.0002329033579033579
temp_fer = 0.006578947368421052, temp_ber = 0.00022677432216905902
temp_fer = 0.00641025641025641, temp_ber = 0.00022095959595959597
temp_fer = 0.00625, temp_ber = 0.00021543560606060607
temp_fer = 0.006097560975609756, temp_ber = 0.00021018107908351812
temp_fer = 0.005952380952380952, temp_ber = 0.00020517676767676767
temp_fer = 0.005813953488372093, temp_ber = 0.00020040521494009867
temp_fer = 0.005681818181818182, temp_ber = 0.00019585055096418732
temp_fer = 0.005555555555555556, temp_ber = 0.0001914983164983165
temp_fer = 0.005434782608695652, temp_ber = 0.0001873353096179183
temp_fer = 0.005319148936170213, temp_ber = 0.00018334945196647325
temp_fer = 0.005208333333333333, temp_ber = 0.0001795296717171717
temp_fer = 0.00510204081632653, temp_ber = 0.00017586580086580088
temp_fer = 0.005, temp_ber = 0.00017234848484848486
temp_fer = 0.004901960784313725, temp_ber = 0.0001689691027926322
temp_fer = 0.004807692307692308, temp_ber = 0.00016571969696969698
temp_fer = 0.0047169811320754715, temp_ber = 0.00016259291023441966
temp_fer = 0.004629629629629629, temp_ber = 0.00015958193041526374
temp_fer = 0.004545454545454545, temp_ber = 0.00015668044077134986
temp_fer = 0.004464285714285714, temp_ber = 0.00015388257575757575
temp_fer = 0.0043859649122807015, temp_ber = 0.00015118288144603934
temp_fer = 0.004310344827586207, temp_ber = 0.0001485762800417973
temp_fer = 0.00423728813559322, temp_ber = 0.00014605803800719054
temp_fer = 0.004166666666666667, temp_ber = 0.00014362373737373738
temp_fer = 0.004918032786885246, temp_ber = 0.00020647044212617984
temp_fer = 0.004838709677419355, temp_ber = 0.00020314027370478983
temp_fer = 0.004761904761904762, temp_ber = 0.0001999158249158249
temp_fer = 0.0046875, temp_ber = 0.00019679214015151514
temp_fer = 0.004615384615384616, temp_ber = 0.00019376456876456878
temp_fer = 0.004545454545454545, temp_ber = 0.0001908287419651056
temp_fer = 0.004477611940298508, temp_ber = 0.00018798055178652194
temp_fer = 0.004411764705882353, temp_ber = 0.00018521613190730838
temp_fer = 0.004347826086956522, temp_ber = 0.0001825318401405358
temp_fer = 0.004285714285714286, temp_ber = 0.00017992424242424242
temp_fer = 0.004225352112676056, temp_ber = 0.00017739009816474606
temp_fer = 0.004166666666666667, temp_ber = 0.0001749263468013468
temp_fer = 0.00410958904109589, temp_ber = 0.00017253009547530095
temp_fer = 0.00472972972972973, temp_ber = 0.00023418304668304667
temp_fer = 0.004666666666666667, temp_ber = 0.00023106060606060605
temp_fer = 0.004605263157894736, temp_ber = 0.00022802033492822966
temp_fer = 0.004545454545454545, temp_ber = 0.0002250590318772137
temp_fer = 0.004487179487179487, temp_ber = 0.00022217365967365968
temp_fer = 0.004430379746835443, temp_ber = 0.00021936133486766398
temp_fer = 0.004375, temp_ber = 0.0002166193181818182
temp_fer = 0.004320987654320987, temp_ber = 0.00021394500561167229
temp_fer = 0.00426829268292683, temp_ber = 0.00021133592017738359
temp_fer = 0.004216867469879518, temp_ber = 0.00020878970427163198
temp_fer = 0.004166666666666667, temp_ber = 0.00020630411255411255
temp_fer = 0.00411764705882353, temp_ber = 0.00020387700534759358
temp_fer = 0.004069767441860465, temp_ber = 0.0002015063424947146
temp_fer = 0.004022988505747126, temp_ber = 0.0001991901776384535
temp_fer = 0.003977272727272727, temp_ber = 0.00019692665289256197
temp_fer = 0.003932584269662922, temp_ber = 0.00019471399387129725
temp_fer = 0.0038888888888888888, temp_ber = 0.00019255050505050504
temp_fer = 0.0038461538461538464, temp_ber = 0.00019043456543456545
temp_fer = 0.0038043478260869567, temp_ber = 0.00018836462450592885
temp_fer = 0.003763440860215054, temp_ber = 0.00018633919843597264
temp_fer = 0.003723404255319149, temp_ber = 0.0001843568665377176
temp_fer = 0.0036842105263157894, temp_ber = 0.00018241626794258373
temp_fer = 0.0036458333333333334, temp_ber = 0.00018051609848484848
temp_fer = 0.0036082474226804126, temp_ber = 0.00017865510777881913
temp_fer = 0.0035714285714285713, temp_ber = 0.00017683209647495363
temp_fer = 0.0035353535353535356, temp_ber = 0.00017504591368227733
temp_fer = 0.0035, temp_ber = 0.00017329545454545454
temp_fer = 0.0034653465346534654, temp_ber = 0.00017157965796579658
temp_fer = 0.003431372549019608, temp_ber = 0.000169897504456328
temp_fer = 0.0033980582524271844, temp_ber = 0.00016824801412180054
temp_fer = 0.0033653846153846156, temp_ber = 0.00016663024475524477
temp_fer = 0.0033333333333333335, temp_ber = 0.00016504329004329006
temp_fer = 0.0037735849056603774, temp_ber = 0.00016973985134362493
temp_fer = 0.003738317757009346, temp_ber = 0.00016815349759274992
temp_fer = 0.003703703703703704, temp_ber = 0.00016659652076318743
temp_fer = 0.003669724770642202, temp_ber = 0.00016506811231581874
temp_fer = 0.0036363636363636364, temp_ber = 0.00016356749311294765
temp_fer = 0.0036036036036036037, temp_ber = 0.0001620939120939121
temp_fer = 0.0035714285714285713, temp_ber = 0.00016064664502164503
temp_fer = 0.0035398230088495575, temp_ber = 0.00015922499329578977
temp_fer = 0.0035087719298245615, temp_ber = 0.00015782828282828284
temp_fer = 0.0034782608695652175, temp_ber = 0.00015645586297760212
temp_fer = 0.0034482758620689655, temp_ber = 0.00015510710553814003
temp_fer = 0.003418803418803419, temp_ber = 0.0001537814037814038
temp_fer = 0.003389830508474576, temp_ber = 0.00015247817154596816
temp_fer = 0.0033613445378151263, temp_ber = 0.00015119684237331296
temp_fer = 0.0033333333333333335, temp_ber = 0.00014993686868686868
temp_fer = 0.003305785123966942, temp_ber = 0.0001486977210117706
temp_fer = 0.003278688524590164, temp_ber = 0.0001474788872329856
temp_fer = 0.0032520325203252032, temp_ber = 0.000146279871889628
temp_fer = 0.0032258064516129032, temp_ber = 0.00014510019550342132
temp_fer = 0.0036, temp_ber = 0.00016515151515151516
temp_fer = 0.0035714285714285713, temp_ber = 0.00016384078884078884
temp_fer = 0.003543307086614173, temp_ber = 0.00016255070388928656
temp_fer = 0.00390625, temp_ber = 0.00018199573863636364
temp_fer = 0.003875968992248062, temp_ber = 0.00018058491895701199
temp_fer = 0.0038461538461538464, temp_ber = 0.0001791958041958042
temp_fer = 0.003816793893129771, temp_ber = 0.00017782789729354614
temp_fer = 0.003787878787878788, temp_ber = 0.00017648071625344354
temp_fer = 0.0037593984962406013, temp_ber = 0.0001751537935748462
temp_fer = 0.0037313432835820895, temp_ber = 0.00017384667571234737
temp_fer = 0.003703703703703704, temp_ber = 0.00017255892255892255
temp_fer = 0.003676470588235294, temp_ber = 0.00017129010695187167
temp_fer = 0.0036496350364963502, temp_ber = 0.00017003981420039813
temp_fer = 0.0036231884057971015, temp_ber = 0.00016880764163372858
temp_fer = 0.0035971223021582736, temp_ber = 0.00016759319816873775
temp_fer = 0.003928571428571429, temp_ber = 0.0001792478354978355
temp_fer = 0.00425531914893617, temp_ber = 0.00018334945196647325
temp_fer = 0.004225352112676056, temp_ber = 0.00018205825864276568
temp_fer = 0.004195804195804196, temp_ber = 0.00018078512396694214
temp_fer = 0.004166666666666667, temp_ber = 0.0001795296717171717
temp_fer = 0.004137931034482759, temp_ber = 0.00017829153605015673
temp_fer = 0.00410958904109589, temp_ber = 0.0001770703611457036
temp_fer = 0.004081632653061225, temp_ber = 0.00017586580086580088
temp_fer = 0.004054054054054054, temp_ber = 0.00017467751842751842
temp_fer = 0.004026845637583893, temp_ber = 0.0001735051860890787
temp_fer = 0.004, temp_ber = 0.00017234848484848486
temp_fer = 0.003973509933774834, temp_ber = 0.00017120710415412404
temp_fer = 0.003947368421052632, temp_ber = 0.00017008074162679426
temp_fer = 0.00392156862745098, temp_ber = 0.0001689691027926322
temp_fer = 0.003896103896103896, temp_ber = 0.00016787190082644628
temp_fer = 0.003870967741935484, temp_ber = 0.00016678885630498535
temp_fer = 0.0038461538461538464, temp_ber = 0.00016571969696969698
temp_fer = 0.003821656050955414, temp_ber = 0.00016466415749855242
temp_fer = 0.0037974683544303796, temp_ber = 0.00016362197928653625
temp_fer = 0.0037735849056603774, temp_ber = 0.00016259291023441966
temp_fer = 0.00375, temp_ber = 0.00016157670454545456
temp_fer = 0.0037267080745341614, temp_ber = 0.00016057312252964426
temp_fer = 0.004012345679012346, temp_ber = 0.00017770295548073326
temp_fer = 0.003987730061349694, temp_ber = 0.00017661275329986987
temp_fer = 0.0039634146341463415, temp_ber = 0.00017553584626755358
temp_fer = 0.00393939393939394, temp_ber = 0.00017447199265381084
