开始仿真几何整形的性能
ebn0:3.00, esn0:6.01
总码率约为:0.500
Suppose Average Power is: 1
Actual Power is: 0.9999999737878519
EsN0 = 6.010299968573509
temp_fer = 0.85, temp_ber = 0.0790719696969697,total_frame=20
temp_fer = 0.75, temp_ber = 0.07149621212121213,total_frame=40
temp_fer = 0.7166666666666667, temp_ber = 0.06988636363636364,total_frame=60
temp_fer = 0.75, temp_ber = 0.07374526515151515,total_frame=80
temp_fer = 0.78, temp_ber = 0.07359848484848484,total_frame=100
temp_fer = 0.7666666666666667, temp_ber = 0.07203282828282828,total_frame=120
temp_fer = 0.7714285714285715, temp_ber = 0.07184794372294372,total_frame=140
temp_fer = 0.7625, temp_ber = 0.0707623106060606,total_frame=160
temp_fer = 0.7611111111111111, temp_ber = 0.06938131313131313,total_frame=180
temp_fer = 0.78, temp_ber = 0.07208333333333333,total_frame=200
temp_fer = 0.7954545454545454, temp_ber = 0.0728133608815427,total_frame=220
temp_fer = 0.7791666666666667, temp_ber = 0.07096748737373737,total_frame=240
temp_fer = 0.7730769230769231, temp_ber = 0.0703962703962704,total_frame=260
temp_fer = 0.775, temp_ber = 0.07062364718614719,total_frame=280
temp_fer = 0.7833333333333333, temp_ber = 0.0698169191919192,total_frame=300
temp_fer = 0.7875, temp_ber = 0.06966145833333333,total_frame=320
temp_fer = 0.7911764705882353, temp_ber = 0.07049353832442068,total_frame=340
temp_fer = 0.7972222222222223, temp_ber = 0.07198021885521885,total_frame=360
temp_fer = 0.7947368421052632, temp_ber = 0.07188995215311005,total_frame=380
temp_fer = 0.79, temp_ber = 0.07134469696969697,total_frame=400
temp_fer = 0.7857142857142857, temp_ber = 0.07104978354978354,total_frame=420
temp_fer = 0.7795454545454545, temp_ber = 0.07076446280991736,total_frame=440
temp_fer = 0.7804347826086957, temp_ber = 0.07043807641633729,total_frame=460
temp_fer = 0.7833333333333333, temp_ber = 0.07077414772727272,total_frame=480
temp_fer = 0.786, temp_ber = 0.07107575757575757,total_frame=500
temp_fer = 0.7807692307692308, temp_ber = 0.07101544289044288,total_frame=520
temp_fer = 0.7722222222222223, temp_ber = 0.07028970258136925,total_frame=540
temp_fer = 0.7714285714285715, temp_ber = 0.07003179112554113,total_frame=560
temp_fer = 0.7706896551724138, temp_ber = 0.0700855538140021,total_frame=580
temp_fer = 0.7733333333333333, temp_ber = 0.07029356060606061,total_frame=600
temp_fer = 0.7741935483870968, temp_ber = 0.07036901270772239,total_frame=620
temp_fer = 0.771875, temp_ber = 0.06988932291666666,total_frame=640
temp_fer = 0.7712121212121212, temp_ber = 0.06974862258953168,total_frame=660
temp_fer = 0.7705882352941177, temp_ber = 0.06953264260249555,total_frame=680
temp_fer = 0.7714285714285715, temp_ber = 0.06913419913419913,total_frame=700
temp_fer = 0.7736111111111111, temp_ber = 0.06903935185185185,total_frame=720
temp_fer = 0.7702702702702703, temp_ber = 0.0687269656019656,total_frame=740
temp_fer = 0.7710526315789473, temp_ber = 0.068647826953748,total_frame=760
temp_fer = 0.7692307692307693, temp_ber = 0.06838335275835276,total_frame=780
temp_fer = 0.77125, temp_ber = 0.06863873106060606,total_frame=800
temp_fer = 0.7707317073170732, temp_ber = 0.06870149667405764,total_frame=820
temp_fer = 0.7738095238095238, temp_ber = 0.06906340187590188,total_frame=840
temp_fer = 0.7709302325581395, temp_ber = 0.06883148343904158,total_frame=860
temp_fer = 0.7715909090909091, temp_ber = 0.06895015495867769,total_frame=880
temp_fer = 0.7677777777777778, temp_ber = 0.06856271043771044,total_frame=900
temp_fer = 0.7684782608695652, temp_ber = 0.06883646245059288,total_frame=920
temp_fer = 0.7670212765957447, temp_ber = 0.06868351063829788,total_frame=940
temp_fer = 0.7677083333333333, temp_ber = 0.06870659722222222,total_frame=960
temp_fer = 0.7602040816326531, temp_ber = 0.06792864873222017,total_frame=980
temp_fer = 0.76, temp_ber = 0.06821780303030303,total_frame=1000
EsN0 = 6.010299968573509, EbN0 = 3.0, FER = 0.76, BER = 0.06821780303030303


run time: 0:12:14.983403
