ebn0:4.00, esn0:7.01
总码率约为:0.500
Suppose Average Power is: 1
Actual Power is: 1.0000000000000002
EsN0 = 7.010299968573509
temp_fer = 0.15, temp_ber = 0.011079545454545455,total_frame=20
temp_fer = 0.125, temp_ber = 0.009564393939393939,total_frame=40
temp_fer = 0.11666666666666667, temp_ber = 0.007954545454545454,total_frame=60
temp_fer = 0.1, temp_ber = 0.0066524621212121215,total_frame=80
temp_fer = 0.09, temp_ber = 0.005606060606060606,total_frame=100
temp_fer = 0.1, temp_ber = 0.006818181818181818,total_frame=120
temp_fer = 0.09285714285714286, temp_ber = 0.006547619047619048,total_frame=140
temp_fer = 0.09375, temp_ber = 0.006628787878787879,total_frame=160
temp_fer = 0.08888888888888889, temp_ber = 0.0059764309764309765,total_frame=180
temp_fer = 0.085, temp_ber = 0.0060321969696969695,total_frame=200
temp_fer = 0.07727272727272727, temp_ber = 0.005483815426997245,total_frame=220
temp_fer = 0.07083333333333333, temp_ber = 0.005026830808080808,total_frame=240
temp_fer = 0.06923076923076923, temp_ber = 0.004669289044289044,total_frame=260
temp_fer = 0.06785714285714285, temp_ber = 0.004633387445887446,total_frame=280
temp_fer = 0.06333333333333334, temp_ber = 0.00432449494949495,total_frame=300
temp_fer = 0.071875, temp_ber = 0.00469341856060606,total_frame=320
temp_fer = 0.07058823529411765, temp_ber = 0.0044229055258467025,total_frame=340
temp_fer = 0.07222222222222222, temp_ber = 0.004692760942760943,total_frame=360
temp_fer = 0.07105263157894737, temp_ber = 0.004739832535885167,total_frame=380
temp_fer = 0.0725, temp_ber = 0.004578598484848485,total_frame=400
temp_fer = 0.08333333333333333, temp_ber = 0.004910714285714286,total_frame=420
temp_fer = 0.08863636363636364, temp_ber = 0.00506198347107438,total_frame=440
temp_fer = 0.0891304347826087, temp_ber = 0.0050683465085639,total_frame=460
temp_fer = 0.08541666666666667, temp_ber = 0.004857165404040404,total_frame=480
temp_fer = 0.084, temp_ber = 0.004715909090909091,total_frame=500
temp_fer = 0.08653846153846154, temp_ber = 0.0046838578088578085,total_frame=520
temp_fer = 0.08518518518518518, temp_ber = 0.004717312008978676,total_frame=540
temp_fer = 0.08214285714285714, temp_ber = 0.00454883658008658,total_frame=560
temp_fer = 0.08275862068965517, temp_ber = 0.004610762800417973,total_frame=580
temp_fer = 0.08333333333333333, temp_ber = 0.004618055555555556,total_frame=600
temp_fer = 0.08709677419354839, temp_ber = 0.0048081622678396874,total_frame=620
temp_fer = 0.0875, temp_ber = 0.004859138257575757,total_frame=640
temp_fer = 0.08636363636363636, temp_ber = 0.004878328741965106,total_frame=660
temp_fer = 0.08676470588235294, temp_ber = 0.004896390374331551,total_frame=680
temp_fer = 0.08714285714285715, temp_ber = 0.004864718614718615,total_frame=700
temp_fer = 0.08611111111111111, temp_ber = 0.004776936026936027,total_frame=720
temp_fer = 0.08513513513513514, temp_ber = 0.0046503890253890255,total_frame=740
temp_fer = 0.08289473684210526, temp_ber = 0.004528010366826156,total_frame=760
temp_fer = 0.08205128205128205, temp_ber = 0.004433760683760684,total_frame=780
temp_fer = 0.08375, temp_ber = 0.004663825757575757,total_frame=800
temp_fer = 0.08170731707317073, temp_ber = 0.004550073909830007,total_frame=820
temp_fer = 0.08214285714285714, temp_ber = 0.004635642135642135,total_frame=840
temp_fer = 0.08372093023255814, temp_ber = 0.004666578576462297,total_frame=860
temp_fer = 0.08295454545454546, temp_ber = 0.004571280991735537,total_frame=880
temp_fer = 0.08333333333333333, temp_ber = 0.0046443602693602695,total_frame=900
temp_fer = 0.08152173913043478, temp_ber = 0.004543395915678525,total_frame=920
temp_fer = 0.08297872340425531, temp_ber = 0.004541424887169568,total_frame=940
temp_fer = 0.08333333333333333, temp_ber = 0.0046125315656565654,total_frame=960
temp_fer = 0.0836734693877551, temp_ber = 0.004682668521954236,total_frame=980
temp_fer = 0.083, temp_ber = 0.004689393939393939,total_frame=1000
temp_fer = 0.08431372549019608, temp_ber = 0.004755273321449792,total_frame=1020
temp_fer = 0.08557692307692308, temp_ber = 0.004769449300699301,total_frame=1040
temp_fer = 0.08490566037735849, temp_ber = 0.00476879645511721,total_frame=1060
temp_fer = 0.08425925925925926, temp_ber = 0.004766414141414142,total_frame=1080
temp_fer = 0.08454545454545455, temp_ber = 0.004800275482093664,total_frame=1100
temp_fer = 0.08482142857142858, temp_ber = 0.004843073593073593,total_frame=1120
temp_fer = 0.08508771929824561, temp_ber = 0.004849481658692185,total_frame=1140
EsN0 = 7.010299968573509, EbN0 = 4.0, FER = 0.08695652173913043, BER = 0.004899538866930171


run time: 0:07:40.404237
