
EsN0 = 7.91029996857351, EbN0 = 4.9, FER = 0.00038, BER = 1.1799242424242424e-05

EsN0 = 8.51029996857351, EbN0 = 5.5, FER = 1.5e-05, BER = 2.840909090909091e-07

EsN0 = 8.51029996857351, EbN0 = 5.5, FER = 1.5e-05, BER = 2.840909090909091e-07

EsN0 = 6.010299968573509, EbN0 = 3.0, FER = 0.852, BER = 0.08551515151515152

EsN0 = 4.010299968573509, EbN0 = 1.0, FER = 1.0, BER = 0.19249810606060605
EsN0 = 7.010299968573509, EbN0 = 4.0, FER = 0.08695652173913043, BER = 0.004899538866930171

EsN0 = 8.01029996857351, EbN0 = 5.0, FER = 0.000135, BER = 4.015151515151515e-06

EsN0 = 6.100000011933696, EbN0 = 3.0897000433601876, FER = 0.798, BER = 0.07645833333333334

EsN0 = 6.200000011933697, EbN0 = 3.189700043360188, FER = 0.721, BER = 0.06459090909090909

EsN0 = 6.700000011933697, EbN0 = 3.689700043360188, FER = 0.257, BER = 0.018077651515151515

EsN0 = 6.300000011933697, EbN0 = 3.289700043360188, FER = 0.635, BER = 0.054388257575757576

EsN0 = 6.800000011933697, EbN0 = 3.789700043360188, FER = 0.199, BER = 0.01299810606060606

EsN0 = 6.400000011933697, EbN0 = 3.3897000433601883, FER = 0.566, BER = 0.04564772727272727

EsN0 = 6.900000011933697, EbN0 = 3.8897000433601883, FER = 0.14, BER = 0.009041666666666667

EsN0 = 6.500000011933697, EbN0 = 3.4897000433601884, FER = 0.463, BER = 0.03506060606060606
